timestamp,open,high,low,close,volume
2026-02-16 05:00:00,68870.07,68900.0,68652.0,68666.16,50.66448
2026-02-16 05:05:00,68666.16,68680.37,68633.96,68680.37,22.94007
2026-02-16 05:10:00,68680.37,68688.84,68463.96,68473.16,55.21212
2026-02-16 05:15:00,68473.17,68524.8,68473.17,68524.8,22.84676
2026-02-16 05:20:00,68524.8,68524.8,68385.71,68399.29,22.47151
2026-02-16 05:25:00,68399.29,68457.99,68386.78,68457.98,26.00661
2026-02-16 05:30:00,68457.99,68493.43,68437.35,68437.35,34.15779
2026-02-16 05:35:00,68437.35,68447.49,68293.28,68305.95,35.65954
2026-02-16 05:40:00,68305.95,68352.52,68298.8,68340.84,30.17771
2026-02-16 05:45:00,68340.83,68387.85,68333.45,68379.28,26.82934
2026-02-16 05:50:00,68379.27,68408.2,68376.76,68408.2,10.42305
2026-02-16 05:55:00,68408.19,68434.29,68385.29,68385.29,16.4953
2026-02-16 06:00:00,68385.29,68441.73,68352.34,68437.31,20.92492
2026-02-16 06:05:00,68437.31,68437.31,68384.66,68396.58,20.52082
2026-02-16 06:10:00,68396.58,68403.5,68360.38,68360.38,14.15009
2026-02-16 06:15:00,68360.38,68394.57,68321.0,68321.01,17.02679
2026-02-16 06:20:00,68321.01,68323.8,68228.76,68313.13,45.85889
2026-02-16 06:25:00,68313.14,68348.37,68269.45,68348.37,16.86406
2026-02-16 06:30:00,68348.36,68527.8,68336.22,68475.87,42.08511
2026-02-16 06:35:00,68475.88,68495.19,68462.11,68475.89,11.7718
2026-02-16 06:40:00,68475.89,68481.64,68457.51,68474.59,10.88676
2026-02-16 06:45:00,68474.58,68476.57,68400.87,68400.87,11.84433
2026-02-16 06:50:00,68400.88,68449.12,68400.0,68429.3,11.62307
2026-02-16 06:55:00,68429.29,68475.3,68429.29,68450.8,17.00951
2026-02-16 07:00:00,68450.8,68450.8,68380.0,68442.24,38.09176
2026-02-16 07:05:00,68442.23,68555.43,68442.23,68540.44,37.63312
2026-02-16 07:10:00,68540.43,68630.89,68485.85,68611.54,37.11398
2026-02-16 07:15:00,68611.53,68620.22,68579.38,68581.07,33.08807
2026-02-16 07:20:00,68581.08,68609.01,68539.71,68600.4,22.71548
2026-02-16 07:25:00,68600.4,68672.59,68570.02,68575.14,16.2318
2026-02-16 07:30:00,68575.14,68602.0,68517.12,68595.32,31.56443
2026-02-16 07:35:00,68595.32,68646.0,68490.0,68490.01,27.6875
2026-02-16 07:40:00,68490.01,68502.01,68440.79,68499.12,28.89009
2026-02-16 07:45:00,68499.12,68591.93,68499.11,68581.62,42.13085
2026-02-16 07:50:00,68581.62,68611.22,68549.19,68558.8,22.2434
2026-02-16 07:55:00,68558.81,68589.11,68540.32,68587.9,24.81258
2026-02-16 08:00:00,68587.89,68637.13,68579.55,68631.97,23.62411
2026-02-16 08:05:00,68631.97,68669.77,68630.8,68639.47,23.6063
2026-02-16 08:10:00,68639.47,68646.65,68548.19,68549.91,16.14618
2026-02-16 08:15:00,68549.9,68667.49,68542.63,68667.48,19.34833
2026-02-16 08:20:00,68667.49,68734.0,68667.48,68723.33,41.06915
2026-02-16 08:25:00,68723.33,68746.76,68708.49,68735.38,24.39358
2026-02-16 08:30:00,68735.38,68750.0,68663.45,68730.62,21.51979
2026-02-16 08:35:00,68730.62,68760.0,68633.89,68736.03,30.52946
