window,std_multiplier,position_size_pct,stop_loss_pct,take_profit_pct,max_holding_period,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,score
25,2.0,0.07,0.02,0.025,30,5.841827319038378,1.7576604194008345,0.9917236554692089,0.49546578730420443,950,1.26179859166623
25,2.2,0.07,0.02,0.025,90,5.841827319038378,1.7576604194008345,0.9917236554692089,0.49546578730420443,950,1.26179859166623
25,2.2,0.05,0.02,0.025,30,5.841827319038378,1.7576604194008345,0.9917236554692089,0.49546578730420443,950,1.26179859166623
25,2.2,0.07,0.02,0.025,30,5.841827319038378,1.7576604194008345,0.9917236554692089,0.49546578730420443,950,1.26179859166623
25,1.8,0.05,0.02,0.025,90,5.841827319038378,1.7576604194008345,0.9917236554692089,0.49546578730420443,950,1.26179859166623
25,2.0,0.07,0.02,0.025,90,5.841827319038378,1.7576604194008345,0.9917236554692089,0.49546578730420443,950,1.26179859166623
25,2.2,0.07,0.02,0.025,60,5.841827319038378,1.7576604194008345,0.9917236554692089,0.49546578730420443,950,1.26179859166623
25,1.8,0.05,0.02,0.025,90,5.841827319038378,1.7576604194008345,0.9917236554692089,0.49546578730420443,950,1.26179859166623
25,1.8,0.07,0.02,0.025,30,5.841827319038378,1.7576604194008345,0.9917236554692089,0.49546578730420443,950,1.26179859166623
25,1.8,0.05,0.02,0.025,60,5.841827319038378,1.7576604194008345,0.9917236554692089,0.49546578730420443,950,1.26179859166623
25,2.2,0.07,0.02,0.025,30,5.841827319038378,1.7576604194008345,0.9917236554692089,0.49546578730420443,950,1.26179859166623
25,2.0,0.07,0.02,0.025,30,5.841827319038378,1.7576604194008345,0.9917236554692089,0.49546578730420443,950,1.26179859166623
25,2.0,0.05,0.02,0.025,30,5.841827319038378,1.7576604194008345,0.9917236554692089,0.49546578730420443,950,1.26179859166623
25,1.8,0.05,0.02,0.025,90,5.841827319038378,1.7576604194008345,0.9917236554692089,0.49546578730420443,950,1.26179859166623
25,2.0,0.07,0.02,0.025,60,5.841827319038378,1.7576604194008345,0.9917236554692089,0.49546578730420443,950,1.26179859166623
25,2.0,0.05,0.02,0.025,60,5.841827319038378,1.7576604194008345,0.9917236554692089,0.49546578730420443,950,1.26179859166623
25,2.0,0.07,0.02,0.025,90,5.841827319038378,1.7576604194008345,0.9917236554692089,0.49546578730420443,950,1.26179859166623
25,2.0,0.05,0.02,0.025,30,5.841827319038378,1.7576604194008345,0.9917236554692089,0.49546578730420443,950,1.26179859166623
25,2.0,0.07,0.02,0.025,30,5.841827319038378,1.7576604194008345,0.9917236554692089,0.49546578730420443,950,1.26179859166623
25,2.2,0.07,0.02,0.025,60,5.841827319038378,1.7576604194008345,0.9917236554692089,0.49546578730420443,950,1.26179859166623
25,1.8,0.05,0.02,0.025,30,5.841827319038378,1.7576604194008345,0.9917236554692089,0.49546578730420443,950,1.26179859166623
25,1.8,0.05,0.02,0.025,60,5.841827319038378,1.7576604194008345,0.9917236554692089,0.49546578730420443,950,1.26179859166623
25,2.2,0.05,0.02,0.025,60,5.841827319038378,1.7576604194008345,0.9917236554692089,0.49546578730420443,950,1.26179859166623
20,1.8,0.05,0.015,0.025,30,6.381016978310964,1.7042956079258698,0.97303160112977,0.47786917352134745,899,1.2177798073609847
20,2.0,0.05,0.015,0.025,90,6.381016978310964,1.7042956079258698,0.97303160112977,0.47786917352134745,899,1.2177798073609847
20,1.8,0.05,0.015,0.025,90,6.381016978310964,1.7042956079258698,0.97303160112977,0.47786917352134745,899,1.2177798073609847
20,2.2,0.07,0.015,0.025,60,6.381016978310964,1.7042956079258698,0.97303160112977,0.47786917352134745,899,1.2177798073609847
20,2.0,0.05,0.015,0.025,60,6.381016978310964,1.7042956079258698,0.97303160112977,0.47786917352134745,899,1.2177798073609847
20,2.2,0.07,0.015,0.025,30,6.381016978310964,1.7042956079258698,0.97303160112977,0.47786917352134745,899,1.2177798073609847
20,2.0,0.07,0.015,0.025,60,6.381016978310964,1.7042956079258698,0.97303160112977,0.47786917352134745,899,1.2177798073609847
20,2.2,0.07,0.015,0.025,60,6.381016978310964,1.7042956079258698,0.97303160112977,0.47786917352134745,899,1.2177798073609847
20,2.2,0.05,0.015,0.025,30,6.381016978310964,1.7042956079258698,0.97303160112977,0.47786917352134745,899,1.2177798073609847
20,2.2,0.07,0.015,0.025,90,6.381016978310964,1.7042956079258698,0.97303160112977,0.47786917352134745,899,1.2177798073609847
20,1.8,0.07,0.015,0.025,90,6.381016978310964,1.7042956079258698,0.97303160112977,0.47786917352134745,899,1.2177798073609847
20,2.2,0.07,0.015,0.025,60,6.381016978310964,1.7042956079258698,0.97303160112977,0.47786917352134745,899,1.2177798073609847
20,2.0,0.05,0.015,0.025,30,6.381016978310964,1.7042956079258698,0.97303160112977,0.47786917352134745,899,1.2177798073609847
20,2.2,0.05,0.015,0.025,60,6.381016978310964,1.7042956079258698,0.97303160112977,0.47786917352134745,899,1.2177798073609847
20,1.8,0.07,0.015,0.025,90,6.381016978310964,1.7042956079258698,0.97303160112977,0.47786917352134745,899,1.2177798073609847
20,2.0,0.07,0.015,0.025,30,6.381016978310964,1.7042956079258698,0.97303160112977,0.47786917352134745,899,1.2177798073609847
20,2.0,0.05,0.015,0.025,30,6.381016978310964,1.7042956079258698,0.97303160112977,0.47786917352134745,899,1.2177798073609847
20,2.0,0.05,0.015,0.025,90,6.381016978310964,1.7042956079258698,0.97303160112977,0.47786917352134745,899,1.2177798073609847
20,1.8,0.07,0.015,0.025,30,6.381016978310964,1.7042956079258698,0.97303160112977,0.47786917352134745,899,1.2177798073609847
15,2.0,0.07,0.015,0.025,90,5.51729891504624,1.645708213686514,0.9679962496640241,0.47419859265050823,935,1.161710088854502
15,1.8,0.07,0.015,0.025,30,5.51729891504624,1.645708213686514,0.9679962496640241,0.47419859265050823,935,1.161710088854502
15,2.2,0.07,0.015,0.025,60,5.51729891504624,1.645708213686514,0.9679962496640241,0.47419859265050823,935,1.161710088854502
15,2.2,0.07,0.015,0.025,30,5.51729891504624,1.645708213686514,0.9679962496640241,0.47419859265050823,935,1.161710088854502
15,1.8,0.07,0.015,0.025,90,5.51729891504624,1.645708213686514,0.9679962496640241,0.47419859265050823,935,1.161710088854502
15,1.8,0.07,0.015,0.025,30,5.51729891504624,1.645708213686514,0.9679962496640241,0.47419859265050823,935,1.161710088854502
15,1.8,0.05,0.015,0.025,90,5.51729891504624,1.645708213686514,0.9679962496640241,0.47419859265050823,935,1.161710088854502
15,1.8,0.05,0.015,0.025,60,5.51729891504624,1.645708213686514,0.9679962496640241,0.47419859265050823,935,1.161710088854502
15,1.8,0.07,0.015,0.025,60,5.51729891504624,1.645708213686514,0.9679962496640241,0.47419859265050823,935,1.161710088854502
15,1.8,0.05,0.015,0.025,90,5.51729891504624,1.645708213686514,0.9679962496640241,0.47419859265050823,935,1.161710088854502
15,2.0,0.07,0.015,0.025,30,5.51729891504624,1.645708213686514,0.9679962496640241,0.47419859265050823,935,1.161710088854502
15,2.2,0.07,0.015,0.025,30,5.51729891504624,1.645708213686514,0.9679962496640241,0.47419859265050823,935,1.161710088854502
20,2.2,0.05,0.02,0.025,30,6.52386273834476,1.591657190668449,0.9419241428357665,0.49959677419354837,958,1.1206951192505656
20,2.2,0.07,0.02,0.025,30,6.52386273834476,1.591657190668449,0.9419241428357665,0.49959677419354837,958,1.1206951192505656
20,2.0,0.05,0.02,0.025,90,6.52386273834476,1.591657190668449,0.9419241428357665,0.49959677419354837,958,1.1206951192505656
20,1.8,0.05,0.02,0.025,60,6.52386273834476,1.591657190668449,0.9419241428357665,0.49959677419354837,958,1.1206951192505656
20,2.0,0.07,0.02,0.025,30,6.52386273834476,1.591657190668449,0.9419241428357665,0.49959677419354837,958,1.1206951192505656
20,1.8,0.05,0.02,0.025,30,6.52386273834476,1.591657190668449,0.9419241428357665,0.49959677419354837,958,1.1206951192505656
20,2.0,0.07,0.02,0.025,60,6.52386273834476,1.591657190668449,0.9419241428357665,0.49959677419354837,958,1.1206951192505656
20,2.2,0.07,0.02,0.025,60,6.52386273834476,1.591657190668449,0.9419241428357665,0.49959677419354837,958,1.1206951192505656
20,1.8,0.07,0.02,0.025,30,6.52386273834476,1.591657190668449,0.9419241428357665,0.49959677419354837,958,1.1206951192505656
20,2.2,0.05,0.02,0.025,30,6.52386273834476,1.591657190668449,0.9419241428357665,0.49959677419354837,958,1.1206951192505656
20,2.0,0.07,0.02,0.025,60,6.52386273834476,1.591657190668449,0.9419241428357665,0.49959677419354837,958,1.1206951192505656
20,1.8,0.07,0.02,0.025,60,6.52386273834476,1.591657190668449,0.9419241428357665,0.49959677419354837,958,1.1206951192505656
20,1.8,0.05,0.02,0.025,60,6.52386273834476,1.591657190668449,0.9419241428357665,0.49959677419354837,958,1.1206951192505656
20,2.2,0.05,0.02,0.025,30,6.52386273834476,1.591657190668449,0.9419241428357665,0.49959677419354837,958,1.1206951192505656
20,2.2,0.05,0.02,0.025,60,6.52386273834476,1.591657190668449,0.9419241428357665,0.49959677419354837,958,1.1206951192505656
15,2.2,0.07,0.02,0.025,30,6.231098315458671,1.552195857188921,0.9130486380804628,0.49818621523579204,992,1.0956715381486895
15,2.0,0.07,0.02,0.025,60,6.231098315458671,1.552195857188921,0.9130486380804628,0.49818621523579204,992,1.0956715381486895
15,2.0,0.07,0.02,0.025,60,6.231098315458671,1.552195857188921,0.9130486380804628,0.49818621523579204,992,1.0956715381486895
15,1.8,0.07,0.02,0.025,90,6.231098315458671,1.552195857188921,0.9130486380804628,0.49818621523579204,992,1.0956715381486895
15,2.0,0.07,0.02,0.025,60,6.231098315458671,1.552195857188921,0.9130486380804628,0.49818621523579204,992,1.0956715381486895
15,1.8,0.05,0.02,0.025,90,6.231098315458671,1.552195857188921,0.9130486380804628,0.49818621523579204,992,1.0956715381486895
15,2.2,0.07,0.02,0.025,90,6.231098315458671,1.552195857188921,0.9130486380804628,0.49818621523579204,992,1.0956715381486895
15,2.0,0.05,0.02,0.025,60,6.231098315458671,1.552195857188921,0.9130486380804628,0.49818621523579204,992,1.0956715381486895
15,2.0,0.05,0.02,0.025,30,6.231098315458671,1.552195857188921,0.9130486380804628,0.49818621523579204,992,1.0956715381486895
15,2.2,0.07,0.02,0.025,30,6.231098315458671,1.552195857188921,0.9130486380804628,0.49818621523579204,992,1.0956715381486895
15,2.2,0.07,0.02,0.025,60,6.231098315458671,1.552195857188921,0.9130486380804628,0.49818621523579204,992,1.0956715381486895
15,2.0,0.07,0.02,0.025,90,6.231098315458671,1.552195857188921,0.9130486380804628,0.49818621523579204,992,1.0956715381486895
15,2.0,0.05,0.02,0.025,90,6.231098315458671,1.552195857188921,0.9130486380804628,0.49818621523579204,992,1.0956715381486895
15,2.0,0.07,0.02,0.025,60,6.231098315458671,1.552195857188921,0.9130486380804628,0.49818621523579204,992,1.0956715381486895
15,2.2,0.05,0.02,0.025,60,6.231098315458671,1.552195857188921,0.9130486380804628,0.49818621523579204,992,1.0956715381486895
15,2.2,0.07,0.02,0.025,90,6.231098315458671,1.552195857188921,0.9130486380804628,0.49818621523579204,992,1.0956715381486895
15,2.0,0.05,0.02,0.025,30,6.231098315458671,1.552195857188921,0.9130486380804628,0.49818621523579204,992,1.0956715381486895
15,2.0,0.05,0.02,0.03,30,5.772022486355616,1.5240395254019903,0.9167793603646927,0.4752475247524752,1059,1.065649845219644
15,1.8,0.07,0.02,0.03,30,5.772022486355616,1.5240395254019903,0.9167793603646927,0.4752475247524752,1059,1.065649845219644
15,2.0,0.05,0.02,0.03,60,5.772022486355616,1.5240395254019903,0.9167793603646927,0.4752475247524752,1059,1.065649845219644
